Placed In,Class 10 Percentage,Class 12 Percentage,Degree Percentage,Degree CGPA,Live Backlogs,Education Gap,Year down,Internship Details
1,95,85,89,10,0,0,0,1
1,68,73,83,9,0,0,0,1
1,92,80,83,9,0,0,0,1
1,93,90,81,9,0,0,0,1
1,95,76,81,9,0,0,0,1
0,89,59,73,8,0,0,0,1
1,96,89,89,9,0,0,0,1
1,88,77,83,9,0,0,0,1
1,82,76,75,8,0,0,0,1
1,91,72,80,9,0,0,0,1
1,89,72,79,9,0,0,0,1
1,93,73,84,9,0,0,0,1
1,89,80,75,8,0,0,0,1
1,85,78,83,10,0,0,0,1
1,79,67,72,8,0,0,0,1
1,73,57,69,8,0,0,0,1
1,92,79,81,9,0,0,0,1
1,85,68,84,9,0,0,0,1
1,76,80,83,9,0,0,0,1
1,83,73,81,9,0,0,0,1
1,90,69,82,9,0,0,0,1
1,86,71,81,9,0,0,0,1
1,84,67,74,8,0,0,0,1
1,79,55,76,8,0,0,0,1
1,84,69,77,9,0,0,0,1
1,96,82,80,9,0,0,0,1
1,87,68,81,9,0,0,0,1
1,92,73,79,9,0,0,0,1
1,91,75,79,9,0,0,0,1
1,71,58,73,8,0,0,0,1
1,82,68,70,8,0,0,0,1
0,70,60,78,9,2,1,1,1
1,86,81,72,8,0,0,0,1
1,85,57,74,8,0,1,1,1
1,84,62,75,8,0,0,0,1
0,87,70,78,9,1,0,0,1
1,91,79,85,9,0,0,0,1
1,85,62,83,9,0,0,0,1
1,82,67,79,8,0,0,0,1
1,85,73,85,9,0,0,0,1
1,72,66,72,8,0,1,0,1
1,95,78,88,9,0,1,0,1
1,82,81,90,10,0,0,0,1
1,92,75,89,9,0,0,0,1
0,86,76,83,9,0,0,0,0
1,81,75,76,8,0,0,0,1
1,91,80,85,9,0,0,0,1
1,81,70,76,8,0,0,0,1
1,90,81,90,9,0,0,0,1
1,96,84,87,10,0,0,0,1
1,84,77,64,7,0,0,1,1
1,68,54,74,8,0,0,1,1
1,78,73,89,10,0,0,0,1
1,91,85,88,10,0,0,0,1
1,84,73,83,9,0,0,0,1
1,85,85,76,8,0,0,0,1
1,88,74,78,9,0,0,0,1
1,83,73,80,9,0,0,0,1
1,92,69,82,9,0,0,0,1
1,86,83,72,8,0,0,0,1
0,77,56,64,7,0,0,1,1
1,95,85,88,9,0,0,0,1
1,93,79,77,9,0,0,0,1
1,86,74,78,9,0,0,0,1
1,93,77,74,9,0,0,0,1
1,85,78,88,10,0,0,0,1
1,95,67,72,8,0,0,0,0
1,83,73,87,9,0,0,0,1
1,93,73,80,9,0,0,0,1
1,90,79,78,9,0,0,0,1
1,76,64,71,8,0,0,0,1
1,87,76,85,9,0,0,0,1
0,88,70,80,9,0,0,0,1
1,63,64,74,8,0,0,0,1
0,77,73,65,9,0,0,0,1
0,96,73,89,9,0,0,0,1
0,85,67,70,8,0,0,0,1
0,84,73,82,10,0,0,0,1
1,87,81,90,9,0,0,0,1
1,61,74,78,9,0,0,1,1
1,91,60,87,9,0,1,0,1
1,95,65,78,9,0,1,0,1
1,92,73,81,9,0,0,0,1
0,66,60,77,9,0,0,0,1
1,95,78,75,8,0,0,0,1
1,92,65,76,9,0,0,0,1
0,70,54,78,9,0,0,0,1
1,93,78,87,9,0,0,0,0
0,92,68,90,10,0,0,0,1
1,94,84,87,9,0,0,0,1
0,87,80,70,9,0,0,0,1
1,81,71,77,9,0,0,0,1
1,96,81,80,9,0,0,0,1
0,86,69,71,8,0,0,0,1
1,63,64,66,8,0,0,1,1
1,94,70,78,9,0,0,1,1
1,94,71,77,9,0,0,0,1
0,72,60,74,8,0,0,0,1
1,91,77,83,9,0,0,0,1
1,93,87,81,9,0,0,0,1
1,90,78,84,9,0,0,0,1
1,84,72,84,9,0,0,0,1
1,92,85,84,10,0,0,0,1
0,77,53,81,9,0,0,0,1
1,90,82,84,9,0,0,0,1
1,73,73,74,8,0,0,3,1
1,91,79,79,9,0,0,0,0
1,80,73,78,9,0,0,0,1
0,80,73,89,10,0,0,0,1
1,89,81,78,9,0,0,0,1
0,93,77,81,9,0,0,0,1
1,90,73,91,10,0,0,0,1
0,88,73,81,9,0,0,0,1
0,69,73,81,9,0,0,0,1
0,92,84,80,9,0,0,0,1
1,85,66,78,9,0,0,0,1
0,82,73,81,9,0,0,0,1
1,93,79,84,9,0,0,0,1
0,91,86,88,10,0,0,0,1
1,78,73,76,8,0,0,0,1
1,82,64,77,8,0,0,0,1
0,88,73,78,8,0,0,0,1
1,87,73,81,9,0,0,0,1
0,74,79,78,9,0,0,1,1
1,93,86,89,10,0,0,0,1
1,87,64,75,8,0,0,0,1
1,91,83,86,9,0,0,0,1
0,78,71,77,9,0,0,0,1
1,89,80,81,9,0,0,0,1
1,92,79,78,9,0,0,0,1
0,91,67,81,9,0,0,0,1
1,82,71,82,9,0,0,0,1
1,89,93,71,9,0,0,0,1
1,83,73,82,9,0,0,0,1
1,93,87,79,9,0,0,0,1
1,90,82,87,9,0,0,0,1
1,92,82,72,9,0,0,0,1
0,84,68,62,9,0,0,0,1
1,88,69,79,9,0,0,0,1
0,80,64,79,9,0,0,1,1
1,85,70,77,8,0,0,0,1
1,94,86,78,9,0,0,0,1
0,87,73,85,9,0,0,0,1
1,89,84,76,8,0,0,0,1
0,87,91,82,9,0,0,0,1
1,95,90,89,10,0,0,0,1
1,92,73,92,10,0,0,0,1
1,94,92,84,10,0,0,0,0
0,85,80,86,9,0,0,0,1
1,93,83,77,8,0,0,0,1
1,78,69,69,9,0,0,0,1
1,84,81,79,9,0,0,0,1
1,91,80,87,9,0,0,0,1
0,90,86,79,9,0,0,0,1
1,93,78,77,9,0,0,0,1
1,94,74,76,9,0,0,0,1
1,91,83,90,10,0,0,0,1
0,82,72,89,10,0,0,0,1
1,90,77,78,9,0,1,0,1
1,93,73,89,10,0,0,0,1
